"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ogfr",3.16857645746298e-10,0.786733366870226,1,1,7.72689054916922e-06
"mt-Nd3",3.4649653786405e-10,-0.532941094585356,1,1,8.44966457235271e-06
"Serpinb8",3.46603234372999e-10,0.84302354276644,1,1,8.45226647341994e-06
"Stat2",4.00685728401912e-10,1.26187378732384,1,1,9.77112217280902e-06
"Rpl36",4.87943557168536e-10,-0.482697279052485,1,1,1.18989915851119e-05
"Psmb8",5.03128984261203e-10,2.44299431823513,1,1,1.22693034101937e-05
"Spc24",5.13671801355372e-10,1.37645930330701,1,1,1.25264005478521e-05
"Znfx1",6.58972913491549e-10,0.803598666115599,1,1,1.60697134684049e-05
"Trafd1",6.72868010794404e-10,0.876934914192301,1,1,1.64085593112323e-05
"Serpina3n",9.00348122987871e-10,1.1856813516696,1,1,2.19558893271822e-05
"Gas5",1.09299530819724e-09,-0.460998335871636,1,1,2.66537835856978e-05
"H2-T22",1.39414037532143e-09,2.17278937741002,1,1,3.39975071925884e-05
"Cmpk2",1.44793078292748e-09,1.85545580520408,1,0.25,3.53092400724695e-05
"Tmem176a",1.73439617609492e-09,0.696187889634856,1,1,4.22949851502508e-05
"Gbp2",1.75412062784549e-09,2.63586728630674,1,1,4.27759856306401e-05
"Psme1",1.99531629156686e-09,0.985765001772593,1,1,4.86577830861495e-05
"Apol9a",2.15944604869297e-09,1.65925831764162,1,1,5.26602513434268e-05
"Nlrc5",2.31212439056248e-09,0.442263088985037,1,0,5.63834653882566e-05
"Trim12c",2.32042738125474e-09,0.760605953434028,1,1,5.65859421192781e-05
"Cox17",2.5221820540814e-09,-0.512925427789023,1,1,6.1505931570829e-05
"Gbp6",2.67514855023348e-09,1.07414025561538,1,0.75,6.52361725459936e-05
"Ndufa3",2.78611144848481e-09,-0.656508430570458,1,1,6.79421137827505e-05
"Rpl35",3.5158166941973e-09,-0.436573173987166,1,1,8.57367059046953e-05
"Hist1h4d",4.07312260695429e-09,0.636616270623276,1,1,9.93271678931872e-05
"AW011738",4.34504956626307e-09,1.23642840295358,1,1,0.000105958378722891
"Mrps21",4.42112910312572e-09,-0.573504891272542,1,1,0.000107813654308824
