"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.00861918250031e-114,3.31887528033728,0.591,0.102,2.45961873844525e-110,"12","Samsn1"
3.24926570905107e-114,5.02553548022582,0.516,0.04,7.92365935809193e-110,"12","Slpi"
6.14892023797247e-114,3.22220113424639,0.614,0.127,1.49947568923197e-109,"12","Ncf2"
7.84073313886114e-114,1.79128796868595,0.893,0.636,1.91204118324268e-109,"12","Prdx5"
2.55328749743385e-113,5.00974322588222,0.481,0.022,6.2264468912422e-109,"12","Retnlg"
2.60281478416242e-113,4.90853240880919,0.501,0.034,6.34722413265848e-109,"12","Cd300lf"
9.80549557712145e-111,1.50161510957707,0.928,0.636,2.39116815143684e-106,"12","Gng5"
2.02540369666657e-110,1.68973332828469,0.859,0.468,4.93914945469111e-106,"12","Gnai2"
9.89354027365352e-110,4.05868095283518,0.507,0.05,2.41263873113315e-105,"12","Cyp4f18"
2.07588321207073e-109,1.50168458179674,0.919,0.717,5.06224880095569e-105,"12","Arpc3"
6.94440879101462e-105,3.67858387998879,0.548,0.075,1.69346352777682e-100,"12","Nfam1"
7.42187103502782e-104,1.79313868687978,0.879,0.669,1.80989747060188e-99,"12","Taldo1"
7.9996775426361e-104,1.09463584609279,0.998,0.86,1.95080136554724e-99,"12","Ftl1"
2.53987858156197e-103,4.44666640641434,0.523,0.077,6.19374790899701e-99,"12","Ccl6"
1.06491411891947e-102,3.07015277977511,0.668,0.289,2.59689957039701e-98,"12","Cdk2ap2"
8.48460392082982e-101,4.47968054377818,0.5,0.053,2.06905551213356e-96,"12","Nlrp3"
7.22430538257252e-100,2.33290225226319,0.695,0.321,1.76171911059413e-95,"12","Txnip"
4.62519454102552e-99,3.40253700767773,0.572,0.105,1.12789994077448e-94,"12","Snx20"
8.04801759483566e-99,1.40272110821854,0.997,0.956,1.96258957067662e-94,"12","Actg1"
7.40864678037881e-98,1.47133152497464,0.916,0.706,1.80667260386318e-93,"12","Neat1"
1.55295582166695e-97,3.08607665529695,0.561,0.09,3.78703806671702e-93,"12","Itgam"
5.20971116510028e-96,3.77972979802651,0.454,0.052,1.27044016472135e-91,"12","Mcemp1"
1.07486042074492e-95,4.31258857881408,0.439,0.028,2.62115462202856e-91,"12","Il1rn"
2.64586804459696e-94,2.86180070087428,0.552,0.159,6.45221381355415e-90,"12","Litaf"
2.07826162561947e-92,2.42181433806007,0.659,0.229,5.06804880023565e-88,"12","Rgs2"
2.15425947175783e-92,2.61823103506354,0.677,0.298,5.25337714782865e-88,"12","Sorl1"
1.47181624538746e-91,1.59532879196027,0.734,0.292,3.58917109600187e-87,"12","Arhgdib"
1.7776002091413e-91,3.30136214728216,0.531,0.088,4.33485587001197e-87,"12","Pla2g7"
4.51240741902711e-91,1.56049305437429,0.834,0.472,1.10039567320395e-86,"12","Gpx1"
1.4412847732539e-90,2.6943483868121,0.659,0.259,3.51471704805696e-86,"12","Dennd4a"
6.78855180849207e-90,2.94046811071111,0.529,0.114,1.65545624401888e-85,"12","Neurl3"
9.82746172137349e-90,3.68193124295586,0.481,0.073,2.39652481537414e-85,"12","Csf2rb"
4.48179300492978e-89,3.4589375233064,0.547,0.116,1.09293004218218e-84,"12","Cd44"
1.75617239068027e-88,1.5549125951785,0.862,0.636,4.2826019919129e-84,"12","Iqgap1"
2.27233700345821e-88,4.3647557672623,0.423,0.034,5.54132101663319e-84,"12","C5ar1"
2.57277058893331e-88,1.9851442051869,0.686,0.328,6.27395835817277e-84,"12","Cotl1"
1.60500667048182e-87,3.92968681621867,0.462,0.051,3.91396926663696e-83,"12","Cd33"
2.6247459457838e-86,2.68495269571769,0.514,0.114,6.40070546338838e-82,"12","Itgb2"
1.15977683580235e-85,2.99040666003875,0.633,0.276,2.82823179178761e-81,"12","Resf1"
1.3722848605607e-85,3.16166364221436,0.55,0.177,3.34645386096332e-81,"12","Grina"
3.91381500921622e-85,1.71480524806851,0.731,0.235,9.54422928147466e-81,"12","Laptm5"
5.21047579677525e-84,1.79219228677682,0.404,0.053,1.27062662780161e-79,"12","Lcn2"
1.59965571153397e-82,1.2403959031067,0.858,0.654,3.90092041814675e-78,"12","Hmgb2"
1.6307593322525e-82,1.24872876315884,0.946,0.847,3.97676970763095e-78,"12","Gabarap"
2.02316936467866e-82,4.7633626389651,0.409,0.036,4.93370081270538e-78,"12","Slc16a3"
2.81631174191882e-82,3.69865214009039,0.449,0.055,6.86785781384325e-78,"12","Fgr"
1.31353739927776e-81,0.781747630692319,1,0.996,3.20319230187874e-77,"12","Eif1"
4.08277338389959e-80,2.14303343262367,0.604,0.242,9.95625117397754e-76,"12","Fam49b"
9.08236230241704e-80,3.97216742463625,0.41,0.057,2.21482487106742e-75,"12","Plk3"
4.94709876649035e-78,6.12639998688589,0.347,0.012,1.20639950519634e-73,"12","H2-Q10"
5.13557472285789e-78,4.39055340919142,0.392,0.053,1.25236125191613e-73,"12","Hcar2"
5.354136147135e-78,2.61599335287274,0.53,0.167,1.30565964084034e-73,"12","Fosl2"
2.04000942507111e-77,2.38179848488134,0.364,0.023,4.97476698397841e-73,"12","Wfdc21"
3.08936392237404e-77,0.559147024917826,0.956,0.671,7.53372286110134e-73,"12","Cst3"
3.58851866400118e-77,6.41771352283645,0.348,0.012,8.75096161403328e-73,"12","Acod1"
1.35062759570487e-76,4.21438035245522,0.345,0.036,3.2936404548859e-72,"12","Clec5a"
2.83329438740716e-76,1.25307780656862,0.917,0.761,6.9092716931311e-72,"12","Cdc42"
3.3283126490376e-76,3.69121284262489,0.428,0.052,8.11642322594308e-72,"12","Slfn1"
5.50723361395188e-76,2.24483270676599,0.525,0.135,1.34299398909831e-71,"12","Cytip"
6.1418951042056e-76,0.975776497547208,0.982,0.892,1.49776254011158e-71,"12","Serf2"
9.10360706843734e-76,2.85552410889825,0.504,0.118,2.22000561970913e-71,"12","Gpsm3"
8.21988714510216e-75,1.68605248314854,0.895,0.761,2.00450167920461e-70,"12","Txn1"
1.76881400972461e-74,1.98518962988942,0.817,0.534,4.31342984411444e-70,"12","Dusp1"
1.84461045025631e-74,1.81915613943248,0.712,0.347,4.49826704399503e-70,"12","Msn"
3.63055135484553e-74,2.84882196479849,0.459,0.102,8.85346253392631e-70,"12","Vsir"
1.30627801472626e-73,2.33984295345189,0.538,0.154,3.18548956671147e-69,"12","Cd53"
1.69158462265947e-73,1.85846350257303,0.76,0.4,4.12509826081739e-69,"12","S100a6"
1.20114409814989e-70,2.52251821608349,0.499,0.123,2.92910999774831e-66,"12","Selplg"
1.61424391049507e-70,4.23998508284898,0.324,0.029,3.93649520013328e-66,"12","Siglece"
2.19144891359718e-70,0.957710915388273,0.654,0.195,5.34406732069808e-66,"12","Lyz2"
2.31924082673651e-70,1.18300214665193,0.9,0.533,5.65570068007965e-66,"12","H2-D1"
2.49090443093229e-70,2.22147378795251,0.567,0.261,6.07431954527147e-66,"12","Nudt4"
5.64480191331753e-70,0.690963701738937,0.999,0.988,1.37654139458161e-65,"12","H3f3a"
