"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ier2",1.813268355733e-09,-0.737068568219395,1,1,4.4218362122905e-05
"Tomm7",1.89179606944297e-09,-1.09302454256109,1,1,4.61333389494362e-05
"Sec61g",1.90171865467621e-09,-0.631400685079776,1,1,4.6375311112934e-05
"Ifit1bl1",2.0311080843966e-09,2.71165386582869,1,1,4.95306017460956e-05
"Gbp6",2.27988185366129e-09,1.83553160176361,1,0,5.55971988833842e-05
"G530011O06Rik",2.41023490564489e-09,1.70200391831443,1,0.333,5.87759884090563e-05
"Slfn2",2.82867024789337e-09,1.78159478648808,1,1,6.89799526651277e-05
"Mrpl33",3.15979154564233e-09,-1.08073764359709,1,1,7.70546766320339e-05
"Cd86",3.32620051058529e-09,1.9617932242493,1,1,8.11127256511328e-05
"Tmem86a",3.37815217685979e-09,1.2546975009052,0.75,1,8.23796189849028e-05
"Ccr5",3.60972570532705e-09,1.70472369857485,1,1,8.80267710501055e-05
"Cd300lf",3.99818114248772e-09,1.78279116939586,1,1,9.74996453407055e-05
"Eif2ak2",4.18310875069797e-09,2.00525362619793,1,1,0.000102009289994521
"Nop10",4.22211999371381e-09,-1.42865583963291,0.75,1,0.000102960618166705
"Hpgd",4.24974160487254e-09,-0.93107581696723,1,1,0.000103634198776422
"Ifi214",4.46675240447145e-09,2.21003116437068,1,1,0.000108926224135441
"Kdr",4.5261015659021e-09,1.23675822751154,0.75,1,0.000110373512786089
"Rbm39",4.7109008397422e-09,-0.468758064340464,1,1,0.000114880027877953
"Srsf5",4.77863113847055e-09,-0.454873232470874,1,1,0.000116531698942743
"Trafd1",4.90697278428479e-09,1.72653353890448,1,1,0.000119661438317569
"Cox7b",6.04338711667237e-09,-0.886817840501813,1,1,0.000147374038227172
"Cox6c",6.20139247884298e-09,-0.906378292750773,1,1,0.000151227156989065
"Fndc3a",6.7379010922197e-09,2.24352537396771,1,1,0.00016431045603487
"Cyb5a",7.09626372658746e-09,-1.40797568536656,0.75,1,0.000173049487236562
