,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Broad_cluster,Cluster,revised_cluster
119,Rasgrp4,0,2.963647035,0.38,0.051,0,11,Rasgrp4,Neuron,Dlg2+ OSN,Dlg2+ OSN
120,Rgs71,0,2.953291468,0.384,0.055,0,11,Rgs7,Neuron,Dlg2+ OSN,Dlg2+ OSN
121,Cxcr2,0,7.281542327,0.764,0.012,0,12,Cxcr2,Granulocyte,MHC-I Hi Mature,MHC-I Hi Mature
122,Stfa2l1,0,7.217620839,0.271,0.003,0,12,Stfa2l1,Granulocyte,MHC-I Hi Mature,MHC-I Hi Mature
123,Clec4d,0,6.462130779,0.501,0.017,0,12,Clec4d,Granulocyte,MHC-I Hi Mature,MHC-I Hi Mature
124,Acod1,0,6.417713523,0.348,0.012,0,12,Acod1,Granulocyte,MHC-I Hi Mature,MHC-I Hi Mature
125,Il1r2,0,6.392282019,0.628,0.021,0,12,Il1r2,Granulocyte,MHC-I Hi Mature,MHC-I Hi Mature
126,Trem1,0,6.30850944,0.667,0.022,0,12,Trem1,Granulocyte,MHC-I Hi Mature,MHC-I Hi Mature
127,Csf3r,0,6.2802338,0.71,0.033,0,12,Csf3r,Granulocyte,MHC-I Hi Mature,MHC-I Hi Mature
128,H2-Q10,0,6.126399987,0.347,0.012,0,12,H2-Q10,Granulocyte,MHC-I Hi Mature,MHC-I Hi Mature
129,Ptgs2,0,5.78149831,0.672,0.041,0,12,Ptgs2,Granulocyte,MHC-I Hi Mature,MHC-I Hi Mature
130,Cxcl21,0,5.548668018,0.655,0.046,0,12,Cxcl2,Granulocyte,MHC-I Hi Mature,MHC-I Hi Mature
131,AU040972,0,7.96228042,0.251,0.004,0,13,AU040972,Epithelial,Ciliated,Ciliated
132,Bpifa1,0,7.584830745,0.33,0.035,0,13,Bpifa1,Epithelial,Ciliated,Ciliated
133,Reg3g1,0,7.050706813,0.839,0.069,0,13,Reg3g,Epithelial,Ciliated,Ciliated
134,Tff2,0,6.891505854,0.303,0.01,0,13,Tff2,Epithelial,Ciliated,Ciliated
