"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Serpinb6a7",1.02864417224716e-27,0.464350257687336,0.382,0.29,2.50845167844193e-23,"21","Serpinb6a"
"Pdcd105",1.12222406434191e-27,0.469698615951324,0.443,0.356,2.73665560330418e-23,"21","Pdcd10"
"Frmd4b4",1.40228878337482e-27,0.669542110508225,0.254,0.177,3.41962142713782e-23,"21","Frmd4b"
"Fkbp1a7",3.17299706567815e-27,0.404182516112453,0.504,0.418,7.73767064436275e-23,"21","Fkbp1a"
"Dyrk25",4.79936765238174e-27,0.628939400948167,0.284,0.204,1.17037379570981e-22,"21","Dyrk2"
"Pgrmc27",6.2115448033479e-27,0.645892415566647,0.269,0.191,1.51474731574442e-22,"21","Pgrmc2"
"Prmt18",7.12162848811213e-27,0.527897322716886,0.314,0.23,1.73668032311102e-22,"21","Prmt1"
"Hadha8",1.16623744999257e-26,0.49902074809634,0.369,0.283,2.84398664555189e-22,"21","Hadha"
"Csde13",2.17787492110473e-26,0.310519630633739,0.72,0.661,5.310965782606e-22,"21","Csde1"
"Prkar2a7",3.77547407085427e-25,0.692438113777051,0.279,0.205,9.20687106918521e-21,"21","Prkar2a"
"Pdcd55",2.62460060261164e-24,0.442590290495008,0.543,0.48,6.40035102952874e-20,"21","Pdcd5"
"Pbx18",2.81064888108262e-24,0.315892308044017,0.418,0.322,6.85404836140809e-20,"21","Pbx1"
"Ptprf7",3.36409056092476e-24,0.390754986035952,0.255,0.175,8.20367124187112e-20,"21","Ptprf"
"Glg16",3.95428077223968e-24,0.518793156491818,0.415,0.341,9.64290909118369e-20,"21","Glg1"
"Prxl2c7",6.60573698542061e-24,0.55851002518044,0.283,0.207,1.61087502126467e-19,"21","Prxl2c"
"Acat16",1.13205290953857e-23,0.515731057165453,0.367,0.287,2.76062422520076e-19,"21","Acat1"
"Il6st6",1.20676049566385e-23,0.539275626440515,0.301,0.225,2.94280614472586e-19,"21","Il6st"
"Ptov19",1.69075365018341e-23,0.509684348842069,0.361,0.283,4.12307185133726e-19,"21","Ptov1"
"Eif1ax2",1.82047576416204e-23,0.540479993815868,0.38,0.302,4.43941219848554e-19,"21","Eif1ax"
"Bcl7c4",3.17023835612917e-23,0.570418322834072,0.305,0.23,7.73094325525658e-19,"21","Bcl7c"
"Cast10",3.23543170878553e-23,0.323132889108793,0.331,0.242,7.88992376504438e-19,"21","Cast"
"Atp5d3",8.26718466521786e-23,0.310541590208925,0.799,0.777,2.01603565246003e-18,"21","Atp5d"
"Pdlim18",1.06418145975422e-22,0.493095457633492,0.258,0.184,2.59511290775665e-18,"21","Pdlim1"
"Myh96",1.36099872551217e-22,0.529301491342873,0.507,0.454,3.31893149203398e-18,"21","Myh9"
"Crebbp1",1.50424697360691e-22,0.438351074361486,0.444,0.37,3.66825666983781e-18,"21","Crebbp"
"Endod15",2.10796274393809e-22,0.274387915494344,0.454,0.346,5.14047794736742e-18,"21","Endod1"
"Hmg20b5",3.21351734287788e-22,0.509414709842127,0.343,0.268,7.83648339234199e-18,"21","Hmg20b"
