"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.85653033523671e-117,11.0913363352518,0.441,0.002,6.96593487550824e-113,"17","5430419D17Rik"
1.12790225345574e-80,11.0090304920244,0.334,0.008,2.75050243527717e-76,"17","Bpifb4"
1.08547177686548e-83,10.9860214845488,0.339,0.008,2.64703147506417e-79,"17","Gpx6"
0,10.476314356772,0.983,0.029,0,"17","Vmo1"
2.32271410501401e-158,9.27425569511595,0.538,0.001,5.66417061648716e-154,"18","Kl"
0,9.12464155647015,0.962,0.006,0,"18","Smbd1"
0,9.04699431071604,0.974,0.047,0,"18","Coch"
3.16142003832045e-261,9.01816277901305,0.797,0.003,7.70943890544826e-257,"18","Clcnka"
0,8.99952744037676,0.942,0.006,0,"18","Galnt13"
1.08017416150351e-163,7.59217798014589,0.533,0.004,2.63411271024246e-159,"19","Tac1"
0,6.25847659026252,1,0.092,0,"19","Wfdc18"
1.97074239798917e-156,5.8285180516976,0.574,0.013,4.80585241173638e-152,"19","Barx2"
6.09662485028448e-230,5.56712819355893,0.754,0.026,1.48672293599037e-225,"19","Cited4"
7.93737546034656e-119,5.29104207385503,0.458,0.02,1.93560837976011e-114,"19","Bglap3"
0,13.3174489161716,0.989,0.01,0,"20","Camp"
0,11.6740107180076,0.993,0.015,0,"20","Ngp"
6.46359888230021e-69,9.48815907352232,0.274,0,1.57621322343773e-64,"20","4930438A08Rik"
9.93675806367499e-114,9.17933932681898,0.417,0.003,2.42317782140778e-109,"20","Fcnb"
7.80507627106187e-234,8.59155997712086,0.712,0.002,1.90334589946115e-229,"20","Itgb2l"
2.2844181044294e-81,11.1753855799508,0.287,0,5.57078198946153e-77,"21","Map3k7cl"
6.58196698736223e-124,10.4850849394438,0.455,0.001,1.60507846953815e-119,"21","Higd1b"
1.0173605174943e-78,10.4285380468679,0.287,0,2.4809353579616e-74,"21","Gm13861"
2.16030232281451e-126,10.2861127535047,0.443,0.002,5.26811324441546e-122,"21","Pln"
1.00644741114174e-283,10.254955770946,0.817,0.004,2.45432265681025e-279,"21","Myh11"
0,9.12102099724855,0.958,0.009,0,"22","Muc2"
3.06311154230115e-299,8.20329806239607,0.859,0.006,7.46970380705558e-295,"22","Gldn"
0,8.122724600909,1,0.048,0,"22","Sec14l3"
2.27114928096055e-174,7.8897602217324,0.602,0.004,5.5384246365504e-170,"22","Nipal1"
9.39740743755718e-261,7.65263696591758,0.784,0.009,2.29165177772269e-256,"22","Tex33"
0,12.1861180245283,0.942,0.005,0,"23","Car6"
0,11.6581357904898,0.98,0.007,0,"23","Scgb2b27"
1.19016063538705e-314,11.4226672952178,0.898,0.006,2.90232572545487e-310,"23","Scgb1b27"
1.86124087798212e-101,10.933812355331,0.383,0.001,4.5388220050472e-97,"23","Csn3"
8.29639793431297e-266,9.13908629036576,0.79,0.007,2.02315960026156e-261,"23","Fbp1"
0,14.5058394456955,0.999,0.003,0,"24","Bpifb9a"
0,14.0480319847076,0.997,0.004,0,"24","Bpifb9b"
0,13.9035172413714,0.972,0.001,0,"24","Bpifb5"
5.68313022666982e-308,13.0663655603914,0.888,0.001,1.3858881370757e-303,"24","Odam"
0,12.9304152219702,0.991,0.002,0,"24","2310003L06Rik"
3.72005747252096e-122,9.56244528702575,0.437,0.001,9.07173215248961e-118,"25","Hmx3"
4.64554074009064e-160,9.43720769980179,0.543,0.002,1.1328615648785e-155,"25","Il25"
3.73279501581472e-228,9.38574303468773,0.711,0.002,9.10279392556578e-224,"25","Trpm5"
3.20592675538505e-183,9.2552133710191,0.613,0.002,7.81797298568198e-179,"25","Sh2d7"
4.46592468051502e-226,9.23619675556623,0.71,0.003,1.08906039259039e-221,"25","Avil"
1.54703654016852e-61,11.7586349250989,0.256,0.001,3.77260330685494e-57,"26","Car1"
1.37074189851982e-138,8.72865740326054,0.536,0.005,3.34269119373043e-134,"26","Ctsg"
3.63930800245633e-142,8.62067526077843,0.538,0.003,8.87481649479001e-138,"26","Mpo"
1.94825547930725e-151,7.79721266501064,0.596,0.018,4.75101581183865e-147,"26","Prtn3"
8.44093348364899e-125,7.68286632299587,0.487,0.005,2.05840603932264e-120,"26","Elane"
