"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Atp6v1g1",9.06329344631252e-35,-0.416360629750015,1,1,2.21017473981777e-30
"Gng13",1.69930662432476e-34,-0.322444949827219,1,1,4.14392913407837e-30
"Cox4i1",2.55366492581078e-34,-0.344745360732962,1,1,6.22736728808216e-30
"Ndufb4",3.53455945051709e-34,-0.492162719097028,1,1,8.61937667603098e-30
"Atox1",5.34167045764545e-34,-0.395463880380106,1,1,1.30261975780142e-29
"Prdx1",1.15046006380562e-33,-0.65160162372786,1,1,2.80551191159639e-29
"Atp5l",1.37392786925503e-33,-0.461100013025362,1,1,3.35046050196532e-29
"Pgam1",1.44239545937692e-33,-0.46711398227845,1,1,3.51742556723656e-29
"Prdx2",1.46927669552519e-33,-0.5017130443641,1,1,3.58297814970774e-29
"Ubl5",1.75617725151582e-33,-0.469547076312996,1,1,4.28261384554647e-29
"Selenow",2.54558765066906e-33,-0.496285954578615,1,1,6.20767004492156e-29
"Cystm1",4.69748769042901e-33,-0.370543711309173,1,1,1.14552934818802e-28
"Rpl17",6.61213453705436e-33,-0.404617205750267,1,1,1.61243512820608e-28
"Rpl23",3.91031429369321e-32,-0.348866274947461,1,1,9.53569243660026e-28
"Rpl11",5.46900827636969e-32,-0.413152545291221,1,1,1.33367235827551e-27
"Hint1",9.80491321468625e-32,-0.392945162475253,1,1,2.39102613653339e-27
"Uqcrb",9.81424526304094e-32,-0.512628034820212,1,1,2.39330184984516e-27
"Ier2",1.3982973435188e-31,-0.930496093840654,1,1,3.40988790190494e-27
"Calm2",1.645179087828e-31,-0.264284766569876,1,1,4.01193372357736e-27
"Chchd2",2.29192100098526e-31,-0.314463214067009,1,1,5.58907855300265e-27
"Rpl34",2.37662943445377e-31,-0.379621531955658,1,1,5.79564853885897e-27
"Rpl27a",2.78629607960483e-31,-0.371698580217521,1,1,6.79466161972435e-27
"Rpl10",2.78933721933266e-31,-0.484410500951509,1,1,6.80207774306463e-27
"Atp6v1f",3.83347481503449e-31,-0.538041382992662,1,1,9.34831168394311e-27
"Uqcr10",4.15343026741686e-31,-0.422084576508445,1,1,1.01285550501227e-26
"Rpl29",4.32799529933375e-31,-0.467401892362166,1,1,1.05542493369553e-26
"Psma2",7.910264157758e-31,-0.496788494796386,1,1,1.92899701751087e-26
